requerimento,razao_social,cnpj,fase,data_cadastro,data_protocolo,data_equipe,processo,status,tipo_licenca,codigo_consema,descricao_consema,porte,potencial_poluidor,inscr_imob,x,y,endereco,cep,regional,data_licenca
73604,Rodrigues - EI,34209587000165,Cadastrado(Aguardando Documento Digital),2024-02-14T17:09:58Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Certidão de Conformidade Ambiental,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",-,M,214.187.01.0050.0000.000,735422.302,7017944.12,"Avenida José Medeiros Vieira, 588 - Praia Brava de Itajaí",88306800,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73595,Nogueira S/A,91625480000131,Efetuado o parecer técnico,2024-02-14T15:44:16Z,15/02/2024 às 13:31,15/02/2024 às 14:27,URB/6667,FCEI Cadastrado,Licença Ambiental de Operação,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",P,M,NA,727870.32,7023603.24,"Rua Enedina D'avila Ferreira, s/n - Cordeiros",88310691,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73587,da Conceição da Paz S.A. Ltda.,37249615000166,Cadastrado(Aguardando Documento Digital),2024-02-14T14:53:00Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,NA,73100.7,7021560,"Rua Fiuza Lima, 188 - São Judas",88303240,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73576,Aragão Cardoso - ME S.A.,59613074000146,Cadastrado(Aguardando Documento Digital),2024-02-14T11:13:43Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Certidão de Conformidade Ambiental,47.84.00,"TERMINAL  RODOVIÁRIO  DE  CARGA  ONDE  SE  OBSERVE  PELO  MENOS  UMA  DAS  SEGUINTES CONDIÇÕES:A) NÃO POSSUA PLANO DIRETOR, DE ACORDO COM A LEI FEDERAL Nº 10.257, DE 10 DE JULHO DE 2001;B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE.",-,M,005.195.05.2800.0000.000,727291.25,7021208.68,"Rodovia BR-101, 8025 - São Vicente",88312500,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73569,Dias S.A.,01567893000114,FCEI cancelado,2024-02-14T10:14:17Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,005.195.05.2800.0000.000,727291.25,7021208.68,"Rodovia BR-101, 8025 - São Vicente",88312500,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73555,Gonçalves da Cruz S.A. e Filhos,13527964000134,Licença concedida,2024-02-13T15:06:07Z,15/02/2024 às 13:15,Sem Equipe Formada,IND/43511,FCEI Cadastrado,Certidão de Conformidade Ambiental,26.70.00,PREPARAÇÃO DO LEITE E FABRICAÇÃO DE PRODUTOS DE LATICÍNIOS,-,G,NA,721925,7021062,"Rua Domingos Rampelotti, 5597 - São Roque",88317600,ITAJAI (INIS),2024-02-15
73549,Martins S/A S/A,52038419000136,Cadastrado(Aguardando Documento Digital),2024-02-13T11:24:06Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,NA,734601,7017807,"RUA LUCI CAN, 395 - PRAIA BRAVA",88306700,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73541,Santos Monteiro S/A - ME,48290673000150,Cadastrado(Aguardando Documento Digital),2024-02-12T12:56:31Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Licença Ambiental de Instalação,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",G,M,221.043.01.0325.0000.000,729892,7020209,"Rua Jose Heitor Liberato, 3350 - Dom bosco",88304401,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73540,da Costa da Costa S.A. - ME,96143085000136,FCEI cancelado,2024-02-12T12:49:06Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Licença Ambiental de Operação,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",G,M,221.043.01.0325.0000.000,729892,7020209,"Rua Jose Gall, 185 - Dom bosco",88307101,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73512,Carvalho e Filhos,41962735000183,Efetuado o parecer técnico,2024-02-09T17:47:09Z,15/02/2024 às 18:46,16/02/2024 às 14:44,URB/43543,FCEI Cadastrado,Licença Ambiental Prévia,71.11.07,"CONDOMÍNIOS DE EDIFÍCIOS DE USO MISTO (COMERCIAL, RESIDENCIAL, SERVIÇOS) LOCALIZADOS EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES",G,M,214.079.01.1065,734386,7017491,"Avenida Osvaldo Reis, 2505 - Praia Brava de Itajaí",88306002,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73508,Almeida - EI,04197653000163,Cadastrado(Aguardando Documento Digital),2024-02-09T16:57:36Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Licença Ambiental de Operação de Correção,33.13.19,"ESTRUTURA DE APOIO NÁUTICO - EAN I - TRAPICHE, PIER, ATRACADOURO, RAMPA DE LANÇAMENTO DE EMBARCAÇÕES E PLATAFORMA DE PESCA",G,M,203.047.01.1762.0000.000,727690.37,7025572.6,"Rua José Luiz Marcelino, 1710 - Murta",88311300,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73505,Cunha - ME - EI,83927615000195,Efetuado o parecer técnico,2024-02-09T16:04:56Z,16/02/2024 às 17:04,16/02/2024 às 18:08,CRT/43607,FCEI Cadastrado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,216.012.01.1600.0000.000,729503.81,7017220.12,"Rodovia BR-101, 12750 - Canhanduba",88313000,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73503,Cardoso e Filhos,52894360000188,FCEI cancelado,2024-02-09T16:01:29Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,216.012.01.1600.0000.000,729503.81,7017220.12,"Rodovia BR-101, 12750 - Canhanduba",88313000,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73498,da Mata Farias - EI - ME,65041372000101,FCEI cancelado,2024-02-09T15:23:46Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Licença Ambiental de Operação de Correção,33.13.19,"ESTRUTURA DE APOIO NÁUTICO - EAN I - TRAPICHE, PIER, ATRACADOURO, RAMPA DE LANÇAMENTO DE EMBARCAÇÕES E PLATAFORMA DE PESCA",G,M,203.047.01.1762.0000.000,727690.37,7025572.6,"Rua José Luiz Marcelino, 1710 - Murta",88311300,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73479,Cunha - ME S/A,08452631000153,FCEI cancelado,2024-02-09T10:41:51Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,216.012.01.1600.0000.000,729503.81,7017220.12,"Rodovia BR-101, 12750 - Canhanduba",88313000,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73459,Silva Ltda.,01683795000142,Cadastrado(Aguardando Documento Digital),2024-02-08T20:10:34Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Licença Ambiental de Instalação,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",P,M,204.016.01.0513,733160.914,7020270.926,"Rua Antônio Manoel Moreira, 130 - Fazenda",88301640,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73449,Fernandes e Filhos,74298063000102,Cadastrado(Aguardando Documento Digital),2024-02-08T15:58:49Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Licença Ambiental de Operação Parcial,71.21.11,CONDOMÍNIO COM FINS INDUSTRIAIS OU DE SERVIÇOS (MULTISSETORIAL),P,G,216.189.04.2280,718458.49,7012086.61,"Rua Serafim Gamba, s/n - Brilhante I",88318260,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73434,Sales e Filhos,54036981000156,Cadastrado(Aguardando Documento Digital),2024-02-08T13:39:34Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Renovação LAO,34.15.00,SUBESTAÇÃO DE TRANSMISSÃO DE ENERGIA ELÉTRICA,G,P,NA,720196.56,7014599.1,"Rua Ver. Germano Luís Viêira, 4865 - Itaipava",88316701,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73399,Rocha Costa S.A. - ME,05812639000195,Cadastrado(Aguardando Documento Digital),2024-02-07T18:37:06Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Licença Ambiental de Operação de Correção,47.84.00,"TERMINAL  RODOVIÁRIO  DE  CARGA  ONDE  SE  OBSERVE  PELO  MENOS  UMA  DAS  SEGUINTES CONDIÇÕES:A) NÃO POSSUA PLANO DIRETOR, DE ACORDO COM A LEI FEDERAL Nº 10.257, DE 10 DE JULHO DE 2001;B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE.",P,M,NA,731099.121,7023863.324,"Rua Alfredo Eicke Júnior, 900",88305610,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73382,Duarte Gonçalves - EI S.A.,63870259000103,Solicitado documentação complementar,2024-02-07T15:26:33Z,16/02/2024 às 17:04,16/02/2024 às 18:13,CRT/43609,FCEI Cadastrado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,203.081.03.1953.0000.000,0,0,"Rua César Augusto Dalsóquio, 5001 - Salseiros",88311500,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73371,Carvalho S/A,06159423000135,Cadastrado(Aguardando Documento Digital),2024-02-07T13:50:42Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Licença Ambiental de Operação,43.20.00,COMÉRCIO ATACADISTA E DEPÓSITOS DE PRODUTOS QUÍMICOS,G,M,NA,717539.06,7011344.8,"Rua Serafim Gamba, 2265 - Brilhante I",88318260,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73357,Lopes - ME,40653291000131,Licença concedida,2024-02-07T09:19:04Z,08/02/2024 às 13:12,Sem Equipe Formada,URB/43377,FCEI Cadastrado,Certidão de Conformidade Ambiental,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",-,M,214.187.03.0070,735440.41,7017935.03,"Avenida José Medeiros Vieira, 576 - Praia Brava de Itajaí",88306800,ITAJAI (INIS),2024-02-08
73347,Novaes e Filhos Ltda.,78243951000189,Licença concedida,2024-02-06T17:15:16Z,08/02/2024 às 13:11,Sem Equipe Formada,IND/43376,FCEI Cadastrado,Certidão de Conformidade Ambiental,13.90.00,"MONTAGEM, REPARAÇÃO OU MANUTENÇÃO DE MÁQUINAS, APARELHOS E EQUIPAMENTOS INDUSTRIAIS E COMERCIAIS E ELÉTRICOS E ELETRÔNICOS ",-,P,215.158.01.0195.0000.000,723905.01,7026246.17,"Rua Vereador Pedro João de Souza Filho, 1911 - Santa Regina",88317535,ITAJAI (INIS),2024-02-08
73341,Porto - ME S/A,13025748000190,Cadastrado(Aguardando Documento Digital),2024-02-06T15:56:06Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Autorização Ambiental,12.80.00,"SERVIÇO INDUSTRIAL DE USINAGEM, SOLDAS E SEMELHANTES",MP,P,212.116.03.0076.0000.000,730680.354,7023436.586,"Rua Doutor Carlos Paulo Pfelsticker, 163 - Barra do Rio",88305260,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73307,Carvalho - ME,76189302000111,Licença concedida,2024-02-06T13:52:32Z,08/02/2024 às 13:14,08/02/2024 às 14:05,CRT/43378,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,005.043.03.0185.0000.000,-26.9023,-48.692,"Rua Manoel Francisco Coelho, 461 - São Vicente",88309280,ITAJAI (INIS),2024-02-08
73288,Viana S.A.,21408763000146,Cadastrado(Aguardando Documento Digital),2024-02-06T10:31:03Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,201.072.05.1050.0001.000,-26.9121,4866622,"Rua Luiz Berlim, 12 - Centro",88302010,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73258,Barros S/A S/A,84916573000150,Cadastrado(Aguardando Documento Digital),2024-02-05T17:26:33Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Licença Ambiental de Operação de Correção,71.11.02,"ATIVIDADES DE HOTELARIA LOCALIZADOS EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: a) não possua Plano Diretor, de acordo com a Lei federal nº 10.257, de 10 de julho de 2001, ou
Lei de Ordenamento Territorial;
b) não exista sistema de coleta e tratamento de esgoto na área objeto da atividade",G,M,204.175.01.1300.0000.000,-73.2508,7021011,"Avenida Vereador Abrahão João Francisco, 567 - Centro",88302101,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73248,da Rocha - EI S.A.,18523460000160,Cadastrado(Aguardando Documento Digital),2024-02-05T15:56:25Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Licença Ambiental Prévia,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",M,M,NA,733962,7016335,"Rua Suécia, 273 - Praia Brava de Itajaí",88306790,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73238,Ferreira S/A,68517430000119,FCEI cancelado,2024-02-05T14:32:20Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Licença Ambiental Prévia,71.11.00,"PARCELAMENTO DE SOLO URBANO: LOTEAMENTO LOCALIZADO EM MUNICÍPIOS DA ZONA COSTEIRA, ASSIM  DEFINIDOS  PELA  LEGISLAÇÃO  ESPECÍFICA,  OU  EM  MUNICÍPIOS  ONDE  SE  OBSERVE  PELO  MENOS  UMA DAS SEGUINTES CONDIÇÕES:A)NÃO POSSUA PLANO DIRETOR, DE ACORDO COM A LEI FEDERAL Nº 10.257, DE 10 DE JULHO DE 2001;B)NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DO PARCELAMENTO.",G,M,216.300.02.0500,728737.95,7014106,"Rua João Thomaz Pinto, 1600 - Canhanduba",88313045,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73223,Fernandes e Filhos,37265148000168,Cadastrado(Aguardando Documento Digital),2024-02-05T11:22:07Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,201.048.01.0370.0000.000,-26.9096,-48.6606,"AV CORONEL MARCOS KONDER, 950 - Centro",88303050,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73209,Cardoso - EI,21093468000148,FCEI cancelado,2024-02-05T09:58:16Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Licença Ambiental de Operação de Correção,47.84.00,"TERMINAL  RODOVIÁRIO  DE  CARGA  ONDE  SE  OBSERVE  PELO  MENOS  UMA  DAS  SEGUINTES CONDIÇÕES:A) NÃO POSSUA PLANO DIRETOR, DE ACORDO COM A LEI FEDERAL Nº 10.257, DE 10 DE JULHO DE 2001;B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE.",G,M,NA,731099.121,7023863.324,"Rua Alfredo Eicke Júnior, 900",88305610,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73205,Lima S.A.,87496105000161,Solicitado documentação complementar,2024-02-05T09:37:27Z,14/02/2024 às 13:31,14/02/2024 às 13:57,CRT/43481,FCEI Cadastrado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,005.198.01.0035.0000.000,728726,7022613,"Rua Nova Trento, 60 - São Vicente",88309460,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73204,Moreira - ME,19572064000195,Cadastrado(Aguardando Documento Digital),2024-02-05T09:37:17Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,005.198.01.0035.0000.000,728726,7022613,"Rua Nova Trento, 60 - São Vicente",88309460,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73202,Porto Aragão S.A. - EI,05471962000142,Cadastrado(Aguardando Documento Digital),2024-02-05T09:36:29Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,005.198.01.0035.0000.000,728726,7022613,"Rua Nova Trento, 60 - São Vicente",88309460,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73191,Silva - EI Ltda.,62708594000147,Cadastrado(Aguardando Documento Digital),2024-02-04T17:24:44Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,NA,732107.84,7021270.41,"Rua Uruguai, 223 - Centro",88302201,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73175,Novaes e Filhos,24931657000130,Cadastrado(Aguardando Documento Digital),2024-02-02T16:48:17Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Licença Ambiental de Operação de Correção,33.13.19,"ESTRUTURA DE APOIO NÁUTICO - EAN I - TRAPICHE, PIER, ATRACADOURO, RAMPA DE LANÇAMENTO DE EMBARCAÇÕES E PLATAFORMA DE PESCA",M,M,NA,732691.38,7022138.82,"Avenida Prefeito Paulo Bauer, 585 - Centro",88301020,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
