requerimento,razao_social,cnpj,fase,data_cadastro,data_protocolo,data_equipe,processo,status,tipo_licenca,codigo_consema,descricao_consema,porte,potencial_poluidor,inscr_imob,endereco,cep,data_licenca,grupo_codigo,grupo_processo,grupo_codigo_resumo,geometry,x,y
73159,DA MOTA LTDA.,76.439.502/0001-85,Efetuado o parecer técnico,2024-02-02T11:39:34Z,2024-02-15T18:46:00Z,2024-02-16T14:38:00Z,RSI/43541,FCEI Cadastrado,REN_LAO,71.60.02,Armazenamento temporário de resíduos de classe iia,G,P,216.096.01.0450.0000,"Rua Marcos Albino, 4935 - Baia",88318-991,NA,Resíduos Sólidos,RSI,Resíduo Sol.,"c(-5423534.10758933, -3119735.4673068)",726262.58,7014835.45
73098,FARIAS - EI E FILHOS,53.062.478/0001-02,Efetuado o parecer técnico,2024-02-01T11:41:24Z,2024-02-05T13:21:00Z,2024-02-05T15:12:00Z,DIV/7088,FCEI Cadastrado,LAO,47.84.00,Terminal  rodoviário  de  carga  ,M,M,216.130.02.1800,"Rodovia Antônio Heil, 10070 - Arraial Dos Cunha",88318-111,NA,Terminais de Transporte,DIV,Terminal Rod.,"c(-5431082.08261767, -3119959.98555891)",719527,7014756
73074,CASTRO MOREIRA E FILHOS - ME,20.476.531/0001-62,Efetuado o parecer técnico,2024-02-01T08:58:48Z,2024-02-16T17:04:00Z,2024-02-16T18:08:00Z,CRT/43606,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rodovia Jorge Lacerda, 1208 - Espinheiros",88317-100,NA,NA,CRT,NA,"c(NaN, NaN)",NA,NA
73035,SILVA S/A,60.793.815/0001-05,Licença concedida,2024-01-31T13:50:41Z,2024-02-01T18:54:00Z,2024-02-02T14:11:00Z,CRT/43171,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rodovia Antônio Heil, 3400 - Itaipava",88316-002,2024-02-15,NA,CRT,NA,"c(-5424968.73085617, -3116682.89088061)",725031.615,7017566.915
73015,DA CRUZ E FILHOS - ME,31.054.279/0001-10,Licença concedida,2024-01-31T10:13:33Z,2024-02-01T18:55:00Z,NA,AGD/43172,FCEI Cadastrado,CCA,01.52.00,Criação de animais confinados de médio porte ,-,P,215.041.02.1700.0000.000,"Rua Domingos Rampelotti, 701 - São Roque",88317-600,2024-02-01,Outras Atividades,AGD,Outro,"c(-5423868.08576086, -3111608.81622632)",726094.58,7022052.59
73009,ALMEIDA - ME,50.946.837/0001-04,Solicitado documentação complementar,2024-01-31T09:45:58Z,2024-02-15T18:46:00Z,2024-02-16T14:32:00Z,CRT/43542,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rua Emílio Da Cruz Coutinho, 86 - Fazenda",88302-260,NA,NA,CRT,NA,"c(-5416564.18955835, -3113003.45340875)",732589.98,7020695.68
72998,CALDEIRA S.A.,48.062.593/0001-47,Efetuado o parecer técnico,2024-01-30T20:27:54Z,2024-02-01T13:12:00Z,2024-02-01T16:03:00Z,URB/9898,FCEI Cadastrado,LAO,71.11.01,Condomínios de casas ou edifícios,P,M,NA,"Avenida José Eugênio Muller, 1279 - Vila Operária",88303-171,NA,Empreendimentos Imobiliários,URB,Imobiliário,"c(-5417988.36027459, -3112764.77646318)",731323,7020931
72948,NASCIMENTO LTDA. - ME,64.378.012/0001-37,Efetuado o parecer técnico,2024-01-30T12:18:29Z,2024-02-05T16:18:00Z,2024-02-05T17:49:00Z,SAN/43251,FCEI Cadastrado,LAO_COR,33.13.19,Estrutura de apoio náutico - ean i - trapiche,M,M,203.067.01.0090,"Rua César Augusto Dalsóquio, 1826 - Salseiros",88311-500,NA,Obras de Infraestrutura,SAN,Infraestrutura,"c(-5424071.96933442, -3107890.78402624)",725971.93,7025356.69
72925,JESUS ALVES - EI S/A,67.941.085/0001-83,Solicitado documentação complementar,2024-01-30T08:31:12Z,2024-01-31T18:52:00Z,2024-02-01T15:11:00Z,CRT/43122,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rodovia Antônio Heil, 1001 - Itaipava",88316-001,NA,NA,CRT,NA,"c(NaN, NaN)",NA,NA
72924,DA CONCEIÇÃO - ME,15.947.862/0001-01,Efetuado o parecer técnico,2024-01-30T08:26:15Z,2024-02-16T17:04:00Z,2024-02-16T18:20:00Z,HSP/43605,FCEI Cadastrado,AUA,56.11.01,Laboratório de análises de serviços de saúde,U,M,0050050306000001000,"Rua Estefano José Vanolli, 295 - São Vicente",88308-010,NA,Outras Atividades,HSP,Outro,"c(-5419981.61178649, -3110568.47680468)",729579.884,7022913.245
72898,DA MATA S/A,15.962.473/0001-47,Licença indeferida,2024-01-29T15:31:14Z,2024-01-30T16:19:00Z,NA,CRT/43067,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,21613001850000000,"Rodovia Antônio Heil, 8523 - Itaipava",88318-112,2024-01-30,NA,CRT,NA,"c(NaN, NaN)",NA,NA
72892,NOGUEIRA S.A.,56.018.397/0001-01,Licença concedida,2024-01-29T14:49:57Z,2024-01-31T18:51:00Z,2024-02-01T15:11:00Z,CRT/43121,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rodovia Antônio Heil, 1001 - Itaipava",88316-001,2024-02-02,NA,CRT,NA,"c(NaN, NaN)",NA,NA
72782,SALES - ME,21.956.703/0001-68,Solicitado documentação complementar,2024-01-25T22:20:15Z,2024-02-06T18:47:00Z,2024-02-07T15:04:00Z,DIV/17990,FCEI Cadastrado,LAI,47.84.00,Terminal  rodoviário  de  carga  ,M,M,NA,"Rod Antonio Heil, 4305 - Itaipava",88316-003,NA,Terminais de Transporte,DIV,Terminal Rod.,"c(-5425955.708332, -3117447.74523429)",724139,7016904
72680,FERNANDES CORREIA - ME LTDA.,74.635.298/0001-42,Licença concedida,2024-01-24T15:46:56Z,2024-01-26T13:46:00Z,2024-01-26T15:14:00Z,CRT/42954,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rua Manoel Vieira Garção, 77 - Centro",88301-425,2024-01-26,NA,CRT,NA,"c(-5416461.33157923, -3111495.41196271)",732706.5574126203,7022032.606864548
72673,SILVEIRA GOMES - EI E FILHOS,84.615.230/0001-55,Licença indeferida,2024-01-24T14:45:16Z,2024-01-24T17:30:00Z,2024-01-24T18:27:00Z,CRT/42874,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,21613001850000000,"Rodovia Antônio Heil, 8523 - Itaipava",88318-112,2024-01-26,NA,CRT,NA,"c(NaN, NaN)",NA,NA
72661,REZENDE DA ROSA - EI - EI,09.143.628/0001-10,Efetuado o parecer técnico,2024-01-24T13:56:30Z,2024-02-08T13:15:00Z,2024-02-08T16:47:00Z,URB/43379,FCEI Cadastrado,LAP_LAI,71.11.07,Condomínios de edifícios de uso misto ,G,M,214.068.02.0850,"Avenida Osvaldo Reis, 2300 - Praia Brava De Itajaí",88306-600,NA,Empreendimentos Imobiliários,URB,Imobiliário,"c(-5414699.0468782, -3116287.6215834)",734200,7017750
72659,RIBEIRO S.A.,57.806.134/0001-11,Efetuado o parecer técnico,2024-01-24T13:45:06Z,2024-02-16T17:03:00Z,2024-02-16T18:17:00Z,URB/43604,FCEI Cadastrado,LAI,71.11.01,Condomínios de casas ou edifícios,P,M,NA,"Rua Ulisses Machado Dutra, 78 - Dom Bosco",88303-394,NA,Empreendimentos Imobiliários,URB,Imobiliário,"c(-5418132.56829035, -3113080.16090892)",731189.16,7020653.43
72658,CARVALHO S.A.,37.916.840/0001-09,Efetuado o parecer técnico,2024-01-24T13:36:22Z,2024-02-15T13:31:00Z,2024-02-15T14:34:00Z,DIV/9977,FCEI Cadastrado,LAO,71.70.10,Complexos turísticos e de lazer,P,M,00000000000000000000000000000000000,"Rua Caianduba, S/N - Canhanduba",88307-770,NA,Outras Atividades,DIV,Outro,"c(-5418685.55684265, -3117105.92628415)",730630.04572875,7017089.7368644
72603,CAVALCANTI S.A. - EI,65.210.984/0001-80,Licença concedida,2024-01-23T16:44:03Z,2024-01-29T16:25:00Z,2024-01-29T18:03:00Z,DIV/43020,FCEI Cadastrado,LAO,47.84.00,Terminal  rodoviário  de  carga  ,P,M,NA,"Rodovia Br-101, 9905 - Cidade Nova",88308-605,2024-02-15,Terminais de Transporte,DIV,Terminal Rod.,"c(-5421613.85515092, -3114856.11333462)",728054,7019134
72590,MENDES S.A.,43.068.791/0001-02,Solicitado documentação complementar,2024-01-23T15:33:33Z,2024-02-01T18:55:00Z,2024-02-02T15:19:00Z,SAN/1677,FCEI Cadastrado,REN_LAO,33.13.19,Estrutura de apoio náutico - ean i - trapiche,G,M,NA,"Rua Annanias Caetano Da Silva, 199 - Murta",88311-075,NA,Obras de Infraestrutura,SAN,Infraestrutura,"c(-5420167.58252226, -3107104.27092259)",729470,7025992
72548,DA ROCHA S.A.,59.268.174/0001-82,Licença concedida,2024-01-23T09:47:32Z,2024-01-30T16:19:00Z,NA,IND/43066,FCEI Cadastrado,CCA,11.90.02,Fabricação de outros artigos de metal,-,G,NA,"Rua Joinville, 409 - Centro",88301-410,2024-01-30,Atividade Industrial,IND,Industrial,"c(-5416517.84569703, -3112013.90467549)",732647.6,7021573.28
72534,FOGAÇA - ME E FILHOS,04.861.752/0001-06,Efetuado o parecer técnico,2024-01-22T17:54:18Z,2024-02-16T17:03:00Z,2024-02-16T18:08:00Z,CRT/43603,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rodovia Antônio Heil, 1001 - Itaipava",88316-001,NA,NA,CRT,NA,"c(-5421922.78779191, -3116296.05614445)",727755.17,7017861.15
72519,SALES MORAES E FILHOS S/A,08.129.347/0001-40,Licença concedida,2024-01-22T15:35:12Z,2024-02-06T18:49:00Z,2024-02-07T14:35:00Z,CRT/43318,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,005030030505000100025661,"Rua Estefano José Vanolli, 1460 - São Vicente",88308-010,2024-02-08,NA,CRT,NA,"c(-5419923.3677429, -3111857.42506494)",729610.9650739767,7021768.0809879545
72513,CUNHA OLIVEIRA - ME E FILHOS,14.386.790/0001-08,Licença concedida,2024-01-22T15:10:42Z,2024-01-23T13:06:00Z,2024-01-23T17:11:00Z,CRT/42802,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rua São Vicente, 1389 - São Vicente",88309-100,2024-01-26,NA,CRT,NA,"c(-5419674.84824837, -3112244.5626103)",729826.466,7021420.38
72494,DA ROSA - EI,32.760.851/0001-29,Licença concedida,2024-01-22T13:00:55Z,2024-02-14T13:27:00Z,2024-02-14T13:57:00Z,CRT/43480,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,204.011.02.0379.0000.000,"Avenida Osvaldo Reis, 219 - Fazendinha",88306-001,2024-02-14,NA,CRT,NA,"c(-5415484.36097597, -3114128.36670173)",733535.02,7019679.35
72475,DA ROSA LTDA. S.A.,43.752.986/0001-69,Licença concedida,2024-01-22T10:14:59Z,2024-01-22T15:55:00Z,NA,DIV/42760,FCEI Cadastrado,CCA,47.84.00,Terminal  rodoviário  de  carga  ,-,M,NA,"Rua José Natal Cugik, 501 - Rio Novo",88312-600,2024-01-22,Terminais de Transporte,DIV,Terminal Rod.,"c(-5423209.04478591, -3112591.18515025)",726667,7021170
72456,NUNES - EI,01.598.763/0001-49,Licença concedida,2024-01-22T08:10:48Z,2024-01-25T14:26:00Z,2024-01-25T16:51:00Z,CRT/42914,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rua Doutor Reinaldo Schmithausen, 1249 - Cordeiros",88310-004,2024-02-07,NA,CRT,NA,"c(-5420732.38917409, -3109088.26266251)",728933.73,7024239.59
72455,DA CONCEIÇÃO S/A,32.867.410/0001-20,Licença concedida,2024-01-22T08:03:51Z,2024-01-25T13:08:00Z,2024-01-25T16:51:00Z,CRT/42906,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Avenida Coronel Marcos Konder, 228 - Centro",88301-300,2024-02-01,NA,CRT,NA,"c(-5417052.64617533, -3111654.03192199)",732176.23,7021901.56
72444,REZENDE S.A. - EI,34.026.758/0001-10,Licença concedida,2024-01-19T17:37:26Z,2024-01-22T15:55:00Z,2024-01-22T19:18:00Z,CRT/42761,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,203.071.01.0200.0000.000,"Rua César Augusto Dalsóquio, 2293 - Salseiros",88311-500,2024-01-23,NA,CRT,NA,"c(-5424471.35406183, -3106499.95867187)",725637.55,7026598.065
72436,BARBOSA S.A.,57.143.028/0001-03,Licença concedida,2024-01-19T16:16:27Z,2024-01-22T13:06:00Z,2024-01-22T14:13:00Z,CRT/42750,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,215.630.01.2600,"Rua Domingos Rampelotti, 5775 - São Roque",88317-600,2024-02-07,NA,CRT,NA,"c(-5427919.44423542, -3112794.08282103)",722460.42,7021065.04
72423,PEREIRA S/A S.A.,83.294.601/0001-81,Licença concedida,2024-01-19T14:29:36Z,2024-01-22T13:07:00Z,2024-01-22T14:14:00Z,CRT/42751,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,2160030106000000000,"Rodovia Antônio Heil, 4305 - Itaipava",88316-003,2024-01-23,NA,CRT,NA,"c(-5425964.87671581, -3117457.79156487)",724130.662,7016895.232
72389,SILVEIRA DA CUNHA S/A E FILHOS,65.427.108/0001-00,Licença indeferida,2024-01-18T18:03:56Z,2024-01-23T13:07:00Z,2024-01-23T17:13:00Z,URB/42804,FCEI Cadastrado,LAP,71.11.05,Conjuntos habitacionais destinados á população de baixa renda que impliquem em parcelamento do solo,P,M,203.104.03.0230,"Rua Vereador Airton Teixeira De Mello, 95 - Murta",88311-060,2024-01-23,Empreendimentos Imobiliários,URB,Imobiliário,"c(-5420413.17350239, -3107439.0041965)",729245.340602649,7025698.766817715
72372,CORREIA FERREIRA S/A LTDA.,35.714.902/0001-74,Licença concedida,2024-01-18T15:00:09Z,2024-01-24T17:31:00Z,2024-01-24T18:27:00Z,CRT/42875,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,0031420100100000000,"Rua Selso Duarte Moreira, 562 - Cordeiros",88310-661,2024-01-26,NA,CRT,NA,"c(-5422027.3061189, -3110434.39263388)",727756.2440321594,7023065.485313173
72360,TEIXEIRA DA ROCHA E FILHOS S.A.,76.530.894/0001-93,Licença concedida,2024-01-18T12:55:43Z,2024-01-22T14:59:00Z,2024-01-22T19:18:00Z,CRT/42754,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,"25.177;25,178;25,179;180,25;128,69;69,874; 69,875","Rodovia Antônio Heil, 700 - Itaipava",88316-001,2024-01-26,NA,CRT,NA,"c(-5421938.35418427, -3115850.4030288)",727748.46,7018256.876
72315,BARBOSA DA MATA LTDA. LTDA.,15.063.487/0001-29,Licença concedida,2024-01-17T16:36:07Z,2024-01-19T14:11:00Z,2024-01-19T14:56:00Z,CRT/42707,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,201075016190000000,"Rua Jorge Mattos, 18 - Centro",88302-130,2024-01-23,NA,CRT,NA,"c(-5417070.69642876, -3112597.15555742)",732144.654,7021064.68
72277,DA MOTA - EI,76.951.803/0001-93,Licença concedida,2024-01-17T09:06:47Z,2024-01-17T15:43:00Z,2024-01-17T16:22:00Z,CRT/42624,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rua Benjamin Dagnoni, 2850 - Rio Do Meio",88316-100,2024-01-18,NA,CRT,NA,"c(-5422956.34846968, -3119174.17462467)",726786.905,7015324.109
72254,VIEIRA LTDA.,48.201.967/0001-68,Licença concedida,2024-01-16T16:20:51Z,2024-01-23T13:06:00Z,NA,URB/42803,FCEI Cadastrado,CCA,71.11.06,Condomínios comerciais horizontais ou verticais localizados em municípios da zona costeira,-,M,005.182.05.0270,"Rua Ema Fornari Conte, 32 - Cidade Nova",88308-660,2024-01-23,Empreendimentos Imobiliários,URB,Imobiliário,"c(-5420947.5070582, -3114354.32042573)",728656.6497556334,7019568.525556898
72251,DA CRUZ E FILHOS S.A.,81.059.762/0001-65,Efetuado o parecer técnico,2024-01-16T16:11:19Z,2024-01-24T13:25:00Z,2024-01-24T17:07:00Z,URB/42861,FCEI Cadastrado,REN_LAO,71.11.06,Condomínios comerciais horizontais ou verticais localizados em municípios da zona costeira,M,M,NA,"Rua Brusque, 358 - Centro",88303-000,NA,Empreendimentos Imobiliários,URB,Imobiliário,"c(-5417588.21822474, -3112280.81803205)",731688,7021354
72241,RAMOS S/A,63.912.047/0001-41,Licença concedida,2024-01-16T14:50:12Z,2024-01-17T12:59:00Z,2024-01-17T14:13:00Z,CRT/42619,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,216.044.02.0285.0000.000,"Rua Pedro Wanzuita, 158 - Itaipava",88316-350,2024-01-18,NA,CRT,NA,"c(-5423082.51306722, -3116262.53881871)",726721.07,7017909.63
72211,GOMES MENDES - EI S.A.,18.795.062/0001-00,Licença concedida,2024-01-16T09:52:47Z,2024-01-16T14:49:00Z,2024-01-16T16:09:00Z,CRT/42588,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rua Onze De Junho, 189 - Fazenda",88301-660,2024-01-19,NA,CRT,NA,"c(NaN, NaN)",NA,NA
72172,DA CONCEIÇÃO S/A,29.645.078/0001-45,Licença concedida,2024-01-15T14:23:07Z,2024-01-18T17:18:00Z,2024-01-19T13:49:00Z,CRT/42683,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rodovia Antônio Heil , 1001 - Itaipava",88316-000,2024-01-19,NA,CRT,NA,"c(-5422146.10657366, -3116085.34019604)",727559.329,7018051.753
72158,DA MOTA MONTEIRO LTDA. LTDA.,78.542.093/0001-73,Solicitado documentação complementar,2024-01-15T11:28:20Z,2024-01-17T17:23:00Z,2024-01-17T18:11:00Z,SAN/42641,FCEI Cadastrado,LAO_COR,33.13.19,Estrutura de apoio náutico - ean i - trapiche,G,M,NA,"Rua Valdir Souza, 304 - Murta",88311-040,NA,Obras de Infraestrutura,SAN,Infraestrutura,"c(-5420282.40436581, -3107940.73322322)",729353.96,7025251.14
72146,CARVALHO E FILHOS S/A,82.710.365/0001-74,Efetuado o parecer técnico,2024-01-15T10:18:21Z,2024-01-16T16:31:00Z,2024-01-17T17:48:00Z,IND/42594,FCEI Cadastrado,REN_LAO,30.10.00,Usinas de produção de concreto e/ou argamassa,P,M,NA,"Rua Doutor João Américo Watzko, 155 - São Vicente",88309-800,NA,Atividade Industrial,IND,Industrial,"c(-5421670.50311119, -3112854.05345227)",728035.72,7020911.83
72113,SANTOS E FILHOS,14.695.302/0001-36,Licença concedida,2024-01-12T16:13:15Z,2024-01-15T18:05:00Z,NA,IND/42557,FCEI Cadastrado,CCA,24.12.00,Beneficiamento,-,M,203086031550,"Rua Hercília Moser, 281 - Cordeiros",88311-021,2024-01-15,Atividade Industrial,IND,Industrial,"c(-5420733.91919458, -3108513.55974939)",728941.65,7024749.87
72109,CARDOSO DA LUZ LTDA. S/A,97.683.241/0001-14,Licença concedida,2024-01-12T15:18:13Z,2024-01-15T18:05:00Z,2024-01-15T18:06:00Z,CRT/42558,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,214.067.03.0340,"Rua Nelson João Da Cunha, 355 - Fazendinha",88306-265,2024-02-07,NA,CRT,NA,"c(-5415027.48563398, -3115488.42395477)",733920.198,7018464.704
72101,ARAGÃO DA CRUZ S.A. S/A,16.389.054/0001-20,Licença concedida,2024-01-12T14:07:48Z,2024-01-15T16:28:00Z,NA,PAB/42554,FCEI Cadastrado,CCA,42.32.20,Instalações aéreas de tancagem autônoma para consumo próprio de combustíveis líquidos e gasosos,-,M,NA,"Rodovia Br-101, 4000 - Salseiros",88313-001,2024-01-15,Comércio Varejista e Atacadista,PAB,Posto de Abast.,"c(-5424284.35595605, -3108519.72072321)",725772.32,7024801.67
72067,SALES S.A. S.A.,61.809.435/0001-76,Licença concedida,2024-01-11T17:58:08Z,2024-01-15T13:10:00Z,2024-01-15T14:41:00Z,CRT/42542,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rodovia Antônio Heil, 4605 - Itaipava",88316-002,2024-01-15,NA,CRT,NA,"c(-5427087.56776059, -3117253.89138359)",723132.38,7017094.01
72040,TEIXEIRA - ME,61.795.230/0001-89,Licença concedida,2024-01-11T14:49:42Z,2024-01-11T16:17:00Z,NA,PAB/42508,FCEI Cadastrado,CCA,42.32.20,Instalações aéreas de tancagem autônoma para consumo próprio de combustíveis líquidos e gasosos,-,M,NA,"Rodovia Br-101, 4000 - Salseiros",88313-001,2024-01-11,Comércio Varejista e Atacadista,PAB,Posto de Abast.,"c(-5424284.35595605, -3108519.72072321)",725772.32,7024801.67
72026,DAS NEVES S.A. S/A,92.180.375/0001-07,Efetuado o parecer técnico,2024-01-11T11:41:21Z,2024-01-12T17:10:00Z,2024-01-15T14:52:00Z,URB/42528,FCEI Cadastrado,LAO,71.11.01,Condomínios de casas ou edifícios,P,M,NA,"Rua Cecília Brandão, 35 - Fazenda",88302-340,NA,Empreendimentos Imobiliários,URB,Imobiliário,"c(-5417281.80617631, -3112613.10765634)",731956,7021054
72024,DA LUZ CAMPOS - EI S/A,32.597.041/0001-01,Licença concedida,2024-01-11T11:35:49Z,2024-01-11T15:12:00Z,2024-01-11T15:44:00Z,CRT/42500,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rodovia Antônio Heil, 4605",88316-002,2024-01-12,NA,CRT,NA,"c(-5426321.90100495, -3116917.48221946)",723820.731,7017380.346
72021,FREITAS - EI,26.734.198/0001-20,Licença concedida,2024-01-11T10:37:41Z,2024-02-02T13:13:00Z,2024-02-02T14:12:00Z,CRT/43198,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Avenida Osvaldo Reis, 2700 - Fazendinha",88306-003,2024-02-02,NA,CRT,NA,"c(-5414646.36220128, -3116710.34206294)",734240,7017374
72007,SALES - ME S.A.,60.731.524/0001-84,Licença concedida,2024-01-11T09:04:27Z,2024-01-31T18:51:00Z,2024-02-01T15:10:00Z,CRT/43120,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,2150040102400000000 ,"Rod Jorge Lacerda, 835 - Espinheiros",88317-100,2024-02-07,NA,CRT,NA,"c(-5424664.94379145, -3109811.06274676)",725412.052,7023661.278
71986,TEIXEIRA CAMPOS S.A. E FILHOS,07.291.385/0001-32,Efetuado o parecer técnico,2024-01-10T16:09:00Z,2024-01-25T13:08:00Z,2024-01-25T17:04:00Z,URB/42907,FCEI Cadastrado,LAP,71.11.01,Condomínios de casas ou edifícios,P,M,204.016.01.0513,"Rua Antônio Manoel Moreira, 130 - Fazenda",88301-640,NA,Empreendimentos Imobiliários,URB,Imobiliário,"c(-5415915.78126124, -3113469.9105152)",733160.914,7020270.926
